book_id,lec,prof,bk,publisher,author,serial,credit,rating,major,difficulty
0,교실밖창업과실무기초,김경환,과학기술창업론(대학생을 위한),성균관대학교출판부,김경환,GELT064-I1,2,4.29,0,0
1,교육방법및교육공학,서향희,교육방법 및 교육공학(2판),양서원,"유승우, 임형택, 권충훈, 이성주, 이순덕",CFTD005-01,2,3.06,1,0
2,교육방법및교육공학,서향희,교육방법 및 교육공학(3판)(양장본 HardCover),양서원,"유승우, 임형택, 권충훈, 이성주, 이순덕",CFTD005-01,2,3.06,1,0
3,교육방법및교육공학,강성원,교수-학습과 교육공학(3판)(양장본 HardCover),학지사,"박숙희, 염명숙",CFTD005-01,2,3.06,1,0
4,교육심리,김명숙,교육심리학(3판)(양장본 HardCover),학지사,"신명희, 강소연, 김은경, 김정민, 노원경",CFTD003-01,2,4.38,1,0
5,교육심리,김명숙,교육심리학(4판)(양장본 HardCover),학지사,"신명희, 강소연, 김은경, 김정민, 노원경",CFTD003-01,2,4.38,1,0
6,교육학개론,김은우,교육학개론,학지사,"이지헌, 송현종, 이두휴, 손승남, 이정화",CFTD094-01,2,4.37,1,0
7,교육학개론,조병희,교육의 사회학적 이해(3판)(3판)(양장본 HardCover),학지사,김천기,CFTD094-01,2,4.37,1,0
8,교육학개론,조병희,교육학개론(최신)(2판)(양장본 HardCover),학지사,"성태제, 강대중, 강이철, 곽덕주, 김계현",CFTD094-01,2,4.37,1,0
9,교육행정및교육경영,한신일,교육행정학 원론(6판)(양장본 HardCover),학지사,"윤정일, 송기창, 조동섭, 김병주",CFTD006-01,2,4.21,1,0
10,교육행정및교육경영,한신일,교육행정학원론(5판),학지사,윤정일,CFTD006-01,2,4.21,1,0
11,교육행정및교육경영,곽은주,교육행정 및 학교경영의 이해(개정판 3판)(양장본 HardCover),교육과학사,"진동섭, 이윤식, 김재웅",CFTD006-01,2,4.21,1,0
12,속기학,김신영,속기의 길잡이 (기본편/약법편) 속기공부(전3권),홍신문화사,남상천,GELT008-01,1,3.35,0,0
13,속기학,김신영,쉽고 재미있는 속기의 길잡이 (기본편),홍신문화사,남상천,GELT008-01,1,3.35,0,0
14,수학교과논리논술,서희주,수리논술의 이론과 실제(2판),경문사,"강옥기, 이장주, 이환철, 손정화",CFTD081-01,2,4.0,1,0
