0,1,2,3,4,5,6
교양,GEDM001-01,고전명저북클럽,이전오,금09:00-10:15【20210】금10:30-11:45【20210】,3,
교양,GEDM001-02,고전명저북클럽,박상태,금09:00-10:15【50402】금10:30-11:45【50402】,3,
교양,GEDM001-03,고전명저북클럽,고재석,금09:00-10:15【50104】금10:30-11:45【50104】,3,
교양,GEDM001-04,고전명저북클럽,박희태,금09:00-10:15【50306】금10:30-11:45【50306】,3,
교양,GEDM001-05,고전명저북클럽,이천승,금09:00-10:15【50304】금10:30-11:45【50304】,3,
교양,GEDM001-06,고전명저북클럽,이천승,금15:00-16:15【50304】금16:30-17:45【50304】,3,
교양,GEDM001-07,고전명저북클럽,안상혁,금12:00-13:15【50304】금13:30-14:45【50304】,3,
교양,GEDM001-08,고전명저북클럽,권영욱,금15:00-16:15【31512】금16:30-17:45【31512】,3,
교양,GEDM001-09,고전명저북클럽,권경자,금12:00-13:15【50402】금13:30-14:45【50402】,3,
교양,GEDM001-10,고전명저북클럽,권경자,금15:00-16:15【50402】금16:30-17:45【50402】,3,
교양,GEDM001-11,고전명저북클럽,임부연,금12:00-13:15【50411】금13:30-14:45【50411】,3,
교양,GEDM001-12,고전명저북클럽,임부연,금15:00-16:15【50411】금16:30-17:45【50411】,3,
교양,GEDM001-13,고전명저북클럽,이주강,금12:00-13:15【50306】금13:30-14:45【50306】,3,
교양,GEDM001-14,고전명저북클럽,이주강,금15:00-16:15【50306】금16:30-17:45【50306】,3,
교양,GEDM001-15,고전명저북클럽,심현섭,금09:00-10:15【50308】금10:30-11:45【50308】,3,
교양,GEDM001-16,고전명저북클럽,이선열,금12:00-13:15【50310】금13:30-14:45【50310】,3,
교양,GEDM001-17,고전명저북클럽,함윤식,금15:00-16:15【61804】금16:30-17:45【61804】,3,
교양,GEDM001-18,고전명저북클럽,홍이정,금12:00-13:15【50305】금13:30-14:45【50305】,3,
교양,GEDM001-19,고전명저북클럽,홍이정,금15:00-16:15【50305】금16:30-17:45【50305】,3,
교양,GEDM001-20,고전명저북클럽,배선애,금12:00-13:15【50206】금13:30-14:45【50206】,3,
교양,GEDM001-21,고전명저북클럽,배선애,금15:00-16:15【50206】금16:30-17:45【50206】,3,
교양,GEDM001-22,고전명저북클럽,박희경,금09:00-10:15【50310】금10:30-11:45【50310】,3,
교양,GEDM001-23,고전명저북클럽,박희경,금15:00-16:15【50310】금16:30-17:45【50310】,3,
교양,GEDM001-24,고전명저북클럽,김상현,금12:00-13:15【50104】금13:30-14:45【50104】,3,
교양,GEDM001-25,고전명저북클럽,김상현,금15:00-16:15【50104】금16:30-17:45【50104】,3,
교양,GEDM001-26,고전명저북클럽,안상원,금09:00-10:15【50401】금10:30-11:45【50401】,3,
교양,GEDM001-27,고전명저북클럽,안상원,금15:00-16:15【50401】금16:30-17:45【50401】,3,
교양,GEDM001-28,고전명저북클럽,김성수,금15:00-16:15【50308】금16:30-17:45【50308】,3,
교양,GEDM001-29,고전명저북클럽,우상수,금12:00-13:15【31608】금13:30-14:45【31608】,3,
교양,GEDM001-30,고전명저북클럽,우상수,금15:00-16:15【31608】금16:30-17:45【31608】,3,
교양,GEDM001-31,고전명저북클럽,전대석,금12:00-13:15【31701】금13:30-14:45【31701】,3,
교양,GEDM001-32,고전명저북클럽,전대석,금15:00-16:15【31701】금16:30-17:45【31701】,3,
교양,GEDM001-33,고전명저북클럽,현남숙,금09:00-10:15【31408】금10:30-11:45【31408】,3,
교양,GEDM001-34,고전명저북클럽,정준영,금12:00-13:15【31408】금13:30-14:45【31408】,3,
교양,GEDM001-35,고전명저북클럽,정준영,금15:00-16:15【31408】금16:30-17:45【31408】,3,
교양,GEDM001-36,고전명저북클럽,김진균,금15:00-16:15【31306B】금16:30-17:45【31306B】,3,
