0,1,2,3,4,5
소매경영의이해,정재은,"[<h3>Retailing Management, 9/E</h3>]",Levy,McGraw-Hill Education,"20,000원39,000원"
일탈과범죄,박형민,[<h3>일탈과 범죄의 사회학(사회학총서 9)</h3>],"김준호, 박성훈, 박형민, 신동준, 이성식",다산출판사,"10,000원20,000원"
사회심리학,박태희,[<h3>사회심리학의 이해(4판)(양장본 HardCover)</h3>],한규석,학지사,"5,000원27,000원"
사회조사실습,김지범,[<h3>The Practice of Social Reasearch Set</h3>],Earl Babbie,Cengage Learning,"10,000원36,000원"
조직사회학,유홍준,[<h3>조직사회학(양장본 HardCover)</h3>],유홍준,성균관대학교출판부,"10,000원20,000원"
행정법의이해,김민호,[<h3>행정법 엑기스(8판)</h3>],정선균,필통북스,"15,000원40,000원"
행정법의이해,김민호,[<h3>행정법(양장본 HardCover)</h3>],김민호,박영사,"28,000원49,000원"
행정법의이해,김민호,[<h3>행정법특강(15판)(양장본 HardCover)</h3>],홍정선,박영사,"15,000원62,000원"
행정학의이해,김상태,[<h3>한국 행정학(5판)(양장본 HardCover)</h3>],유민봉,박영사,"5,000원35,000원"
행정학의이해,김상태,[<h3>한국행정학(6판)(양장본 HardCover)</h3>],유민봉,박영사,"10,000원35,000원"
조직과인간관계의이해,박성민,[<h3>조직과 인간관계(양장본 HardCover)</h3>],"박성민, 김선아",박영사,"13,000원25,000원"
공공조직의이해,김상태,[<h3>Public Management; Thinking and Acting in Three Dimensions</h3>],"Hill Carolyn J (EDT), Lynn Laurence E Jr (EDT)",CQ Press,"15,000원130,980원"
글로벌거버넌스와국제기구,이숙종,[<h3>International Organizations</h3>],Karns Margaret P/ Mingst Karen A,Lynne Rienner,"20,000원89,420원"
글로벌거버넌스와국제기구,이숙종,[<h3>국제기구의 이해(2판)(국제지역연구소 번역시리즈 13)</h3>],"Margaret P Karns, Karen A Mingst",명인문화사,"10,000원28,000원"
글로벌거버넌스와국제기구,이숙종,[<h3>국제기구의 이해(3판)</h3>],"Margaret P Karns, Karen A Mingst, Kendall W Stiles",명인문화사,"9,000원29,500원"
글로벌거버넌스와국제기구,이숙종,[<h3>국제기구의 이해(국제지역연구소 번역시리즈 2)</h3>],"마가렛 P 칸스, 카렌 A 밍스트",명인문화사,"3,000원25,000원"
범죄와사회,이희경,[<h3>형법 각론(양장본 HardCover)</h3>],원혜욱,피데스,"29,000원35,000원"
가족관계와법률,류일현,[<h3>친족상속법(3판)(양장본 HardCover)</h3>],송덕수,박영사,"13,000원29,000원"
가족관계와법률,류일현,[<h3>친족상속법(4판)(양장본 HardCover)</h3>],송덕수,박영사,"15,000원29,000원"
행정과경제1:미시경제론,문상호,[<h3>경제학원론:연습문제와 해답(5판)</h3>],"이준구, 이창용",문우사,"5,000원13,000원"
행정과경제1:미시경제론,문상호,[<h3>경제학원론(4판)(양장본 HardCover)</h3>],"이준구, 이창용",문우사,"5,000원25,000원"
행정과경제1:미시경제론,문상호,[<h3>경제학원론(5판)(양장본 HardCover)</h3>],"이준구, 이창용",문우사,"5,000원35,000원"
행정과경제1:미시경제론,문상호,[<h3>경제학원론(연습문제와 해답)</h3>],이준구,법문사,"12,000원"
행정과경제1:미시경제론,문상호,[<h3>미시경제학: 수학노트와 연습문제 해답(6판)</h3>],이준구,문우사,"5,000원12,000원"
행정과경제1:미시경제론,문상호,[<h3>미시경제학:수학노트와 연습문제 해답(7판)</h3>],이준구,문우사,"7,000원12,000원"
행정과경제1:미시경제론,문상호,[<h3>미시경제학(6판)(양장본 HardCover)</h3>],이준구,문우사,"9,000원35,000원"
행정과경제1:미시경제론,문상호,[<h3>미시경제학(7판)(양장본 HardCover)</h3>],이준구,문우사,"15,000원37,000원"
지방행정론,정문기,[<h3>지방자치론</h3>],없음,법문사,"15,000원36,000원"
지방행정론,정문기,[<h3>지방자치론(수정판 2판)(양장본 HardCover)</h3>],김병준,법문사,"5,000원38,000원"
지방행정론,정문기,[<h3>지방자치론(수정판)</h3>],김병준,법문사,"15,000원38,000원"
공공조직관리론,김근세,[<h3>Organization Theory and Design</h3>],Richard L Daft,Cengage Learning,"5,000원49,000원"
공공조직관리론,김근세,[<h3>Understanding the Theory and Design of Organizations</h3>],Richard L Daft,South-Western,"5,000원45,000원"
공공조직관리론,김근세,[<h3>Understanding the Theory and Design of Organizations...</h3>],"Daft, Richard L.",SouthWestern,"15,000원36,000원"
공공조직관리론,김근세,[<h3>조직이론과 설계(10판)(양장본 HardCover)</h3>],RICHARD L DAFT,한경사,"5,000원29,000원"
공공조직관리론,김근세,[<h3>조직이론과 설계(12판)</h3>],Richard L Daft,Cengage Learning,"8,000원33,000원"
공공조직관리론,김근세,[<h3>조직행동론(16판)</h3>],"스티븐 P. 로빈스, Timothy A. Judge",한티미디어,"6,000원37,000원"
행정학개론,공동성,[<h3>한국 행정학(5판)(양장본 HardCover)</h3>],유민봉,박영사,"5,000원35,000원"
규제정책론,박형준,[<h3>규제정책론(전정판)(양장본 HardCover)</h3>],배용수,대영문화사,"5,000원18,000원"
규제정책론,박형준,[<h3>정부규제론</h3>],최병선,법문사,"18,000원30,000원"
사회복지학개론,홍경준,[<h3>사회과학으로의 초대(개정판)</h3>],성균관대학교 사회과학연구소,성균관대학교출판부,"3,000원14,000원"
사회복지학개론,홍경준,[<h3>사회복지개론(개정판 4판)(사회복지학 총서 41)</h3>],"조흥식, 김상균, 최일섭, 최성재, 김혜란",나남,"12,000원24,000원"
사회복지학개론,홍경준,[<h3>아가: 희미한 옛사랑의 그림자(양장본 HardCover)</h3>],이문열,민음사,"4,000원10,000원"
사회복지정책론,박승희,[<h3>오래된 미래(양장본 HardCover)</h3>],헬레나 노르베리 호지,중앙북스,"5,000원14,000원"
사회복지정책론,박승희,[<h3>한국 사회보장론</h3>],박승희,성균관대학교출판부,"20,000원"
사회복지정책론,박승희,[<h3>한국사회복지정책론 (아름다운 세상 가꾸기)</h3>],박승희,성균관대학교출판부,"18,000원"
사회복지정책론,박승희,[<h3>한국사회복지정책론(개정판)</h3>],박승희,성균관대학교출판부,"20,000원"
사회복지실천론,엄명용,[<h3>사회복지실천의 이해(3판)(양장본 HardCover)</h3>],"엄명용, 김성천, 오혜경, 윤혜미",학지사,"3,000원20,000원"
사회복지실천론,엄명용,[<h3>사회복지실천의 이해(4판)(양장본 HardCover)</h3>],"엄명용, 김성천, 오혜경, 윤혜미",학지사,"5,000원22,000원"
